gene,log2_neuron_over_glia
Mreg,1.026
Pecr,-0.535
Tmem169,2.2
Xrcc5,-0.673
March4,2.27
Smarcal1,0.037
Gm39662,0.693
Ankar,0.0
Rpl37a,-0.32
Igfbp2,-3.907
Igfbp5,-2.483
1700027A15Rik,0.0
Tnp1,0.0
Gm29185,0.0
Pinc,0.0
D530049I02Rik,0.0
C530043A13Rik,-0.08
Gm29186,0.0
6030407O03Rik,-0.696
Gm29183,0.0
Tns1,-1.224
Rufy4,0.527
Cxcr2,-0.452
Cxcr1,0.0
Arpc2,-0.215
Gpbar1,0.0
Aamp,-0.289
Gm28364,0.0
Pnkd,0.236
Tmbim1,-1.827
Gm29358,-1.83
Catip,-1.63
Slc11a1,-3.825
Ctdsp1,-3.253
Vil1,-0.832
Usp37,-0.756
Cnot9,0.173
Plcd4,1.19
Zfp142,-0.021
Bcs1l,0.176
Rnf25,0.249
Stk36,0.042
Ttll4,-0.876
Cyp27a1,-2.719
Prkag3,-2.325
Wnt6,-5.045
Gm29539,-3.798
Wnt10a,-2.008
Gm16582,0.0
Cdk5r2,1.873
Fev,-0.183
Cryba2,0.11
Cfap65,0.098
Gm15841,0.0
Ihh,-0.65
Nhej1,-0.526
Slc23a3,-1.064
Cnppd1,-0.245
Retreg2,0.462
Zfand2b,0.218
Abcb6,0.191
Atg9a,0.481
Ankzf1,0.126
Glb1l,-2.32
Stk16,0.345
Tuba4a,1.367
A630095N17Rik,0.0
Dnajb2,0.359
Ptprn,1.652
Gm28294,0.051
Resp18,2.411
Gm28902,0.0
Dnpep,0.256
Des,-4.445
Gm15179,0.0
Speg,-0.041
Gm15178,0.0
Gmppa,-0.333
Asic4,0.9
Chpf,-0.691
Obsl1,-1.073
Tmem198,1.533
Inha,1.218
Stk11ip,0.537
Slc4a3,0.949
Gm29065,0.0
Gm29069,0.0
Gm17751,0.075
Gm816,0.0
Epha4,-1.732
Gm28386,0.0
Gm28387,0.0
Pax3,-0.949
Sgpp2,1.926
Gm28410,1.255
Farsb,0.638
BC035947,0.0
Mogat1,0.397
5730419F03Rik,0.0
Gm29611,0.0
Acsl3,0.279
Utp14b,-0.754
Gm29536,0.0
Kcne4,-4.207
Gm29187,0.0
Scg2,1.999
Ap1s3,-0.12
Wdfy1,-0.556
Mrpl44,0.175
Serpine2,-2.63
9830004L10Rik,0.038
Fam124b,-1.18
2310015K22Rik,0.0
Cul3,0.126
Gm29125,0.018
1700016L21Rik,0.0
Gm45261,0.0
Dock10,-1.902
Nyap2,1.925
Irs1,-0.943
Gm9747,-0.377
Rhbdd1,-0.454
Gm28940,-0.225
Col4a4,-4.034
Col4a3,-1.04
C430014B12Rik,-0.776
Mff,0.296
Gm28941,-0.252
Tm4sf20,-0.11
Gm47791,0.0
Gm28942,0.0
Agfg1,0.162
A030005L19Rik,-0.033
A030014E15Rik,-0.001
Gm6217,0.0
A030003K21Rik,0.0
Gm7544,0.0
Gm47955,0.0
Gm47959,0.0
Slc19a3,0.021
Krtap28-10,0.0
Gm47969,0.0
A030005K14Rik,0.0
Krtap28-13,-0.178
Ccl20,-0.061
Daw1,0.0
Sphkap,1.29
4933436I20Rik,0.0
Pid1,-1.054
Dner,2.018
Trip12,-0.012
Fbxo36,-0.663
Slc16a14,0.91
C130026I21Rik,-0.442
A530032D15Rik,-0.922
Gm10553,0.0
A530040E14Rik,-0.146
Gm16028,0.0
Gm16025,0.0
Gm16092,0.0
G530012D18Rik,0.0
Sp110,-4.115
Gm16094,0.0
Sp140,-3.362
Gm10552,0.0
Gm17017,0.0
Sp100,-3.738
A630001G21Rik,-3.511
9930111H07Rik,0.0
Cab39,0.688
Itm2c,-0.809
4933407L21Rik,-2.415
Gm28884,0.482
Gpr55,-0.18
Gm28100,0.0
Spata3,0.0
2810459M11Rik,-0.178
Psmd1,0.595
Htr2b,0.019
Armc9,0.201
Gm16341,0.0
B3gnt7,-0.218
Gm28626,-0.132
Ncl,-0.245
C130036L24Rik,0.455
Nmur1,0.05
Tex44,0.0
Ptma,0.305
Pde6d,0.408
Cops7b,0.532
Nppc,-1.681
Dis3l2,-0.078
Gm29055,-1.321
Gm28375,0.0
Gm29371,0.0
Alppl2,0.0
Alpi,0.0
Akp3,0.0
Gm29374,0.675
Ecel1,1.297
Prss56,-0.151
Chrnd,0.0
Chrng,0.001
Eif4e2,-0.097
Efhd1,-5.43
Efhd1os,0.0
Gigyf2,-0.257
Kcnj13,-0.482
Snorc,-0.245
Ngef,1.293
Neu2,0.284
Inpp5d,-4.417
Atg16l1,0.197
Sag,0.39
Dgkd,0.362
Gm19582,0.0
Usp40,-0.965
Ugt1a10,0.0
Gm20528,0.0
Ugt1a9,0.0
Ugt1a8,0.0
Ugt1a7c,-2.156
Ugt1a6b,0.0
Ugt1a6a,-1.951
Ugt1a5,-0.355
Ugt1a2,0.0
Dnajb3,0.006
Ugt1a1,0.0
Mroh2a,-0.66
Hjurp,-1.027
Trpm8,0.0
4930453O03Rik,0.0
Spp2,-0.134
Gm29538,0.0
Gm28888,0.0
Glrp1,-0.555
Gm19589,0.0
Gm29336,-0.504
Arl4c,1.013
Platr5,0.004
Gm29337,0.0
1700067G17Rik,0.0
Sh3bp4,-0.482
Gm28342,0.0
C030007H22Rik,0.2
Agap1,0.414
Gm28499,0.055
4933400F21Rik,-0.189
Gbx2,-0.242
D130058E05Rik,0.0
Asb18,0.138
Iqca,0.0
4930434B07Rik,-0.259
Ackr3,-2.715
Gm28721,0.0
Gm28723,0.075
Gm28722,0.0
Cops8,0.265
Gm9991,0.0
Col6a3,-5.04
