,median_log2fc,ci_lo,ci_hi,top30_support,n_datasets,n_positive,n_deposits,neuron_over_glia_log2
Scrn1,0.174,0.061,0.252,0.0,13,13,8,1.096
Tmem145,0.174,0.063,0.289,0.0,13,10,8,1.82
Rnf145,0.173,-0.008,0.239,0.0,13,9,8,0.258
Nrxn3,0.173,-0.032,0.247,0.0012,13,9,8,1.994
Trpm2,0.173,-0.186,0.386,0.008,12,7,7,1.44
Ankrd27,0.173,-0.005,0.254,0.0,13,9,8,0.039
Reps2,0.173,0.031,0.332,0.0,12,10,8,0.727
Myo18a,0.173,0.071,0.207,0.0,13,11,8,-0.345
Tmem47,0.173,0.013,0.335,0.0015,13,11,8,-0.359
BC017158,0.173,-0.088,0.349,0.0,12,7,7,-0.104
Wbp1l,0.173,-0.037,0.271,0.0,12,9,7,-0.691
Smad9,0.172,-0.006,0.248,0.0,13,9,8,1.939
Tbc1d16,0.172,0.043,0.225,0.0,13,10,8,0.711
Ache,0.172,0.063,0.26,0.0,13,11,8,2.084
Fkbp11,0.172,-0.21,0.73,0.0702,13,8,8,-1.138
Socs5,0.172,0.144,0.243,0.0,13,12,8,0.139
Nphp4,0.172,-0.12,0.289,0.0001,10,7,6,0.81
Grid2,0.172,0.025,0.631,0.0952,11,10,6,-1.296
Tmem18,0.172,0.1,0.345,0.0021,12,11,7,-0.236
Ufsp1,0.172,0.069,0.247,0.0,13,12,8,1.617
Cyb561,0.172,0.112,0.275,0.0005,12,12,8,1.599
Slc41a2,0.172,0.099,0.32,0.0002,13,12,8,1.412
Rnf150,0.172,0.006,0.203,0.0,12,9,7,1.087
Cyp4x1,0.171,0.091,0.465,0.0109,12,11,7,2.163
Slc9a8,0.171,0.046,0.236,0.0006,13,11,8,-0.076
Cnnm2,0.171,0.039,0.252,0.0,13,10,8,0.202
Dscam,0.171,0.068,0.347,0.0003,10,8,5,2.02
Tgfbrap1,0.171,0.081,0.32,0.0,13,10,8,-0.065
Xk,0.171,0.057,0.67,0.0587,11,9,7,1.647
Tmem164,0.171,0.08,0.297,0.0003,13,12,8,0.696
Prpf40b,0.171,0.065,0.253,0.0,13,11,8,0.459
Pcdh9,0.17,-0.062,0.219,0.0,13,9,8,0.165
Slc9a6,0.17,0.068,0.241,0.0,13,10,8,0.839
St3gal2,0.17,-0.008,0.246,0.0001,13,9,8,-0.127
Slc39a14,0.17,-0.032,0.339,0.0036,11,8,7,-0.666
Tbcd,0.17,0.073,0.224,0.0,13,11,8,0.65
Casp9,0.17,0.057,0.282,0.002,13,11,8,0.142
C77080,0.17,-0.018,0.362,0.0001,12,9,8,0.212
Nfya,0.169,-0.06,0.271,0.0,11,6,6,-0.813
Man2a1,0.169,0.082,0.342,0.001,12,10,7,0.442
Polg,0.168,-0.058,0.333,0.0003,13,9,8,-0.902
Hrh3,0.168,0.031,0.258,0.0004,10,8,6,1.455
Edem1,0.168,-0.052,0.294,0.0,13,8,8,-1.003
Atp13a2,0.168,0.077,0.352,0.0054,13,11,8,1.211
Chsy1,0.168,0.062,0.28,0.0011,11,9,7,-1.441
Cdc42bpa,0.168,0.088,0.206,0.0,13,10,8,0.261
Nfkbie,0.168,-0.116,0.689,0.026,10,7,6,-0.429
Zfp236,0.168,-0.137,0.262,0.0008,12,8,8,-0.389
Nckipsd,0.168,-0.009,0.275,0.001,13,8,8,0.46
Syp,0.167,0.15,0.297,0.0,13,13,8,2.091
Stxbp1,0.167,0.05,0.189,0.0,13,11,8,1.875
Angptl2,0.167,-0.347,0.537,0.0746,11,6,6,-3.729
Usp35,0.167,-0.065,0.237,0.0,12,8,8,1.117
Ssh1,0.167,0.062,0.282,0.0,12,10,7,-0.307
Atg9a,0.167,0.01,0.248,0.0,12,10,7,0.481
Spock2,0.167,0.043,0.218,0.0,13,11,8,1.643
Pkd1,0.167,0.015,0.302,0.0,11,10,6,-0.361
Slc7a14,0.167,0.094,0.271,0.0,13,12,8,1.953
Aars2,0.167,0.019,0.392,0.011,13,10,8,0.334
Rrp12,0.166,0.076,0.201,0.0,12,11,7,0.609
Ttc38,0.166,0.058,0.357,0.0028,11,10,7,-0.776
Trpm4,0.166,0.007,0.3,0.0001,12,10,7,0.477
Zfp280b,0.166,0.075,0.304,0.002,11,10,7,0.537
Tmem91,0.166,-0.295,0.349,0.0187,10,6,6,1.561
Tecpr1,0.165,0.086,0.238,0.0,13,12,8,0.129
Acaca,0.165,0.126,0.221,0.0,13,11,8,0.271
Exog,0.165,-0.146,0.222,0.0,13,8,8,0.796
Susd6,0.165,-0.038,0.332,0.0007,11,8,6,-1.045
Ngfr,0.165,-0.027,0.344,0.0003,13,8,8,0.479
Tbc1d14,0.165,-0.089,0.192,0.0,13,9,8,0.222
Med24,0.165,0.006,0.246,0.0,13,10,8,0.349
Tnk2,0.165,-0.064,0.267,0.0,13,9,8,0.263
Fem1a,0.164,0.071,0.21,0.0,13,12,8,0.428
Cep170b,0.164,-0.022,0.252,0.0,12,9,7,1.398
Apba1,0.164,0.035,0.181,0.0,13,10,8,1.592
Kcnh2,0.164,-0.136,0.263,0.0,13,8,8,0.039
Scamp1,0.164,-0.042,0.244,0.0,13,8,8,1.225
Mgat3,0.164,0.069,0.266,0.0072,13,10,8,0.126
Adora1,0.163,-0.4,0.41,0.0515,10,6,7,0.827
Dgkh,0.163,-0.037,0.446,0.023,12,9,8,0.621
Gm16638,0.163,0.024,0.325,0.0,11,9,6,0.419
Kdm4a,0.163,-0.09,0.209,0.0,13,9,8,-0.249
Qsox2,0.163,0.048,0.317,0.0,13,10,8,-0.264
Pstpip1,0.163,-0.048,0.691,0.1786,12,8,8,0.54
Tnfrsf21,0.163,-0.007,0.204,0.0,13,9,8,0.208
Shank1,0.163,0.093,0.249,0.0,13,11,8,1.369
Ambra1,0.163,-0.008,0.214,0.0,12,9,7,0.068
Ss18l1,0.163,0.072,0.245,0.0,13,10,8,1.052
Hgsnat,0.162,0.041,0.222,0.0,13,11,8,-0.652
Aqp11,0.162,-0.124,0.472,0.0251,12,7,7,0.849
Fam227a,0.162,-0.186,0.381,0.0051,10,7,6,0.043
Dnajc10,0.162,0.14,0.185,0.0,13,12,8,-0.401
Slc10a4,0.162,0.075,0.634,0.0797,10,9,5,1.789
Ndrg4,0.162,0.143,0.219,0.0,13,12,8,1.848
Cast,0.162,0.028,0.217,0.0,12,10,8,-1.03
Atp6v0a2,0.162,0.015,0.201,0.0,13,10,8,-1.524
Atf7ip,0.162,0.016,0.211,0.0,13,10,8,-0.756
Sgsm1,0.162,-0.025,0.282,0.0,13,9,8,1.934
Lrrc24,0.162,0.041,0.268,0.0,13,11,8,1.287
Apc2,0.162,0.018,0.242,0.0,13,10,8,1.251
Cluh,0.162,0.05,0.224,0.0,12,10,7,0.474
Bbs2,0.162,-0.046,0.444,0.0263,13,9,8,-0.24
Lrrn2,0.162,-0.01,0.29,0.0001,13,9,8,0.297
Kdm5a,0.161,-0.053,0.253,0.0,13,8,8,-0.799
Prdm15,0.161,-0.103,0.424,0.01,10,7,6,-0.23
Rcan3,0.161,0.123,0.307,0.0,13,13,8,1.259
Tapt1,0.161,0.009,0.253,0.0,13,10,8,-0.155
Pgbd5,0.161,-0.07,0.264,0.0,12,9,8,1.968
Rgmb,0.161,0.111,0.273,0.0,13,12,8,0.183
Rbl2,0.161,-0.011,0.352,0.0046,12,8,8,-0.758
Usp20,0.16,0.042,0.29,0.0,13,12,8,1.264
Efnb2,0.16,-0.305,0.233,0.0,11,8,7,0.186
Trak2,0.16,0.131,0.221,0.0,13,11,8,-0.249
Pcgf6,0.16,0.058,0.235,0.0,13,12,8,0.61
Arrb1,0.16,-0.12,0.217,0.0,13,9,8,0.065
Kctd7,0.16,0.033,0.269,0.0,12,10,7,0.557
Arnt2,0.16,-0.059,0.427,0.0175,12,8,7,0.129
Cntn1,0.16,-0.074,0.247,0.0016,13,9,8,1.471
Tbl2,0.16,-0.202,0.247,0.0038,11,7,7,-0.679
Kif1a,0.16,0.095,0.276,0.0,13,13,8,1.194
Sdc3,0.16,0.07,0.303,0.0,13,11,8,0.5
Micall1,0.16,0.04,0.246,0.0,13,11,8,-0.138
Rgp1,0.159,0.049,0.194,0.0002,13,11,8,0.181
Ippk,0.159,0.081,0.449,0.0303,13,12,8,-0.237
Slitrk1,0.159,-0.093,0.287,0.0,13,8,8,-0.131
Kcnq3,0.159,0.046,0.235,0.0038,13,10,8,1.683
Pitpnm3,0.159,0.059,0.707,0.0657,11,9,7,0.775
Lrfn1,0.159,0.071,0.323,0.0047,11,10,6,1.665
Chst11,0.158,0.015,0.321,0.0001,12,9,7,1.199
Rab27b,0.158,0.073,0.322,0.0022,13,11,8,1.963
Vwc2l,0.158,-0.007,0.66,0.0887,10,7,6,2.055
Miip,0.158,-0.052,0.273,0.0,13,8,8,-1.035
Nyap1,0.158,0.063,0.245,0.0,12,10,7,1.977
Mllt6,0.158,-0.116,0.244,0.0,12,9,7,-0.134
Shc2,0.158,0.015,0.207,0.0,13,10,8,1.824
Pex5l,0.158,0.074,0.236,0.0,13,10,8,-0.645
Dnm1,0.158,0.084,0.215,0.0001,13,11,8,1.618
Ablim3,0.157,0.042,0.426,0.0167,13,11,8,1.635
Cul2,0.157,0.078,0.228,0.0,13,11,8,0.723
Suox,0.157,0.014,0.286,0.0,12,9,7,0.295
Slc41a3,0.157,0.028,0.3,0.0,12,9,8,0.279
Xkr6,0.157,0.086,0.209,0.0027,13,10,8,0.901
Git1,0.157,0.023,0.19,0.0,13,10,8,-0.339
Eif2ak3,0.157,-0.023,0.198,0.0,12,9,8,-0.533
Mapkbp1,0.157,-0.243,0.242,0.0003,11,7,7,-0.418
Lmf1,0.156,-0.093,0.244,0.0,13,8,8,-0.448
Smpd4,0.156,-0.068,0.241,0.0,13,9,8,-0.223
Psd3,0.156,0.126,0.18,0.0001,13,11,8,-0.169
Atp6v0a1,0.156,0.093,0.192,0.0,13,12,8,1.331
Ntrk3,0.156,0.003,0.275,0.0006,13,10,8,0.147
Necab1,0.156,0.039,0.318,0.0002,13,10,8,1.375
Kcnb1,0.156,-0.035,0.194,0.0,13,9,8,1.835
Ern1,0.156,0.018,0.311,0.0056,10,8,6,-0.293
Klhl22,0.156,-0.029,0.204,0.0,13,8,8,0.366
Efr3a,0.156,0.037,0.253,0.0019,13,11,8,0.666
Plekha6,0.156,-0.017,0.288,0.0,13,9,8,1.718
Clcn5,0.155,0.053,0.419,0.0242,13,11,8,-0.113
Ero1lb,0.155,0.059,0.212,0.0,10,9,6,0.627
Icmt,0.155,0.034,0.365,0.023,13,10,8,0.55
Pacs2,0.155,0.046,0.236,0.0,13,10,8,0.179
6030458C11Rik,0.155,0.057,0.244,0.0,13,11,8,0.035
Sgsm2,0.155,0.045,0.218,0.0,13,11,8,0.53
Plppr4,0.154,0.018,0.301,0.0,11,10,6,2.072
Erich3,0.154,-0.211,0.299,0.0073,10,6,5,1.83
Dvl2,0.154,-0.14,0.253,0.0,12,8,7,-1.475
Slc2a8,0.154,0.007,0.231,0.0005,13,10,8,-0.357
Slc25a42,0.154,0.002,0.265,0.0001,11,9,7,-0.484
Atp1a3,0.154,0.131,0.297,0.0069,13,11,8,2.058
Pclo,0.154,0.074,0.187,0.0,13,10,8,1.958
Hdx,0.154,-0.057,0.194,0.0028,11,8,7,0.64
Def8,0.154,-0.002,0.19,0.0,13,9,8,0.929
Gns,0.154,0.071,0.199,0.0,13,12,8,-0.39
Mfn1,0.154,0.016,0.248,0.0,13,11,8,-0.024
Frmpd4,0.154,0.041,0.31,0.0034,11,9,7,1.553
Ttyh3,0.154,-0.055,0.196,0.0,12,7,7,0.2
Spred1,0.154,0.028,0.212,0.0012,13,11,8,-1.041
Dock4,0.154,-0.211,0.224,0.0,12,7,8,-0.001
Sfi1,0.154,-0.129,0.218,0.0008,13,9,8,-0.321
Zbtb26,0.154,0.001,0.192,0.0001,10,8,6,-0.213
Zyg11b,0.154,0.066,0.219,0.0,13,11,8,1.165
Fam57a,0.154,0.032,0.235,0.0011,11,9,6,0.479
Hyou1,0.154,-0.049,0.232,0.0,12,8,8,-0.102
Hsd17b4,0.154,0.066,0.216,0.0,13,11,8,-1.431
Cd99l2,0.154,0.043,0.255,0.0,13,11,8,0.468
Klf8,0.154,-0.081,0.362,0.0029,11,7,7,1.024
2410131K14Rik,0.153,-0.037,0.313,0.0,12,8,7,1.016
Chl1,0.153,-0.112,0.231,0.0,13,8,8,0.353
Pnpt1,0.153,0.019,0.182,0.0,13,10,8,-0.226
Dysf,0.153,-0.042,0.296,0.0008,12,8,8,0.469
Madd,0.153,0.125,0.187,0.0,13,12,8,1.735
Mtmr9,0.153,0.067,0.228,0.0,13,10,8,0.942
Nmnat2,0.152,0.098,0.257,0.0,13,12,8,1.438
Ilvbl,0.152,0.011,0.302,0.0,13,10,8,-0.493
Hk1,0.152,0.092,0.204,0.0,13,13,8,1.376
Fbxl18,0.152,0.062,0.259,0.0,12,10,7,0.325
Zfp827,0.152,-0.126,0.177,0.0,13,9,8,1.279
Hcn3,0.152,0.066,0.239,0.0,13,11,8,1.716
Ppp6r1,0.152,0.082,0.253,0.0,13,11,8,0.099
Sh3bgr,0.152,-0.207,0.711,0.115,12,8,8,0.472
Elovl4,0.152,0.043,0.373,0.0011,13,12,8,1.75
Rapgef2,0.152,0.039,0.25,0.0,13,11,8,-0.266
Chml,0.152,-0.078,0.284,0.0,12,9,8,0.96
Slc35d1,0.151,-0.257,0.286,0.0,12,9,8,-0.973
Akap1,0.151,-0.018,0.248,0.0003,13,9,8,0.242
Tbk1,0.151,-0.025,0.191,0.0,13,9,8,0.009
Nhsl2,0.151,-0.108,0.416,0.0136,11,7,6,0.095
Atp8a1,0.151,0.049,0.211,0.0,13,11,8,0.3
Fndc5,0.151,-0.11,0.378,0.0047,13,9,8,-0.227
Ssr1,0.151,0.012,0.224,0.0,13,10,8,-0.968
Zdhhc15,0.151,-0.219,0.393,0.0011,12,7,7,0.343
Sppl2a,0.151,-0.18,0.232,0.0,12,9,7,-0.599
Zcchc4,0.151,-0.035,0.266,0.0,12,8,7,-0.111
Fst,0.151,-0.572,0.328,0.0025,12,7,7,0.546
Ptprf,0.151,0.041,0.164,0.0,13,11,8,-0.196
Ctnnd2,0.151,0.103,0.295,0.0,13,11,8,0.127
Fam171b,0.151,0.019,0.275,0.0,13,12,8,1.621
Sorl1,0.151,-0.133,0.317,0.0,13,8,8,1.068
Abcc1,0.151,-0.003,0.274,0.0,13,9,8,0.812
Ep300,0.151,0.069,0.239,0.0,13,10,8,-0.545
Jag2,0.151,0.096,0.418,0.017,12,12,8,0.847
Atrnl1,0.151,0.037,0.342,0.0,13,10,8,0.876
Mvb12b,0.151,0.072,0.299,0.0,12,11,7,-0.109
Pex5,0.151,-0.003,0.395,0.0069,13,9,8,0.031
Bcl2l1,0.15,0.026,0.213,0.0,13,11,8,0.325
Lpcat2,0.15,-0.056,0.387,0.0133,10,7,7,-2.932
Lins1,0.15,-0.04,0.346,0.0001,10,7,5,0.099
Naa25,0.15,-0.051,0.249,0.0,13,8,8,0.913
Dolpp1,0.15,-0.022,0.215,0.0,13,8,8,0.403
Slc35e1,0.15,-0.009,0.212,0.0,13,9,8,0.123
Rccd1,0.15,-0.176,0.388,0.0388,10,7,6,-1.416
Ube3b,0.15,0.046,0.35,0.0136,13,10,8,0.098
Megf8,0.15,0.035,0.299,0.0047,13,10,8,0.541
Osbpl6,0.149,-0.065,0.175,0.0,13,9,8,1.031
Map3k9,0.149,0.052,0.31,0.0001,11,11,7,1.737
Celsr3,0.149,0.011,0.231,0.0,12,10,7,1.752
Faf2,0.149,0.065,0.21,0.0,13,11,8,-0.1
Dgkq,0.149,0.01,0.343,0.0003,12,9,7,0.501
Rhobtb1,0.149,-0.095,0.413,0.0194,10,6,5,-0.092
Arnt,0.149,0.092,0.331,0.0006,12,10,7,-1.021
Sgpp1,0.149,0.101,0.238,0.0,13,11,8,0.05
Agap3,0.149,0.101,0.166,0.0,13,13,8,0.803
Lrrn3,0.149,-0.064,0.195,0.0,13,7,8,0.13
Gabbr1,0.149,0.046,0.203,0.0,13,12,8,1.184
Adcy9,0.148,0.069,0.388,0.0172,12,11,8,0.489
Irgq,0.148,0.049,0.228,0.0,13,10,8,1.372
Tm9sf1,0.148,-0.137,0.278,0.0,11,8,6,-1.479
Socs7,0.148,-0.253,0.257,0.0,12,9,7,0.282
Mfsd10,0.148,0.044,0.215,0.0,13,10,8,-0.718
Daglb,0.148,-0.162,0.376,0.0093,13,8,8,0.192
Kcnc3,0.148,0.06,0.43,0.0197,12,10,7,1.499
Cdipt,0.148,0.069,0.182,0.0,13,13,8,0.81
Rnf103,0.148,0.058,0.16,0.0,13,10,8,0.151
Snx14,0.148,0.031,0.264,0.0,13,11,8,0.254
Dnajc18,0.148,0.091,0.235,0.0,13,12,8,0.341
Efhc2,0.148,0.042,0.484,0.025,11,9,7,1.702
Nol9,0.148,-0.078,0.306,0.0,12,8,7,-0.151
Tmem201,0.148,-0.096,0.282,0.0,12,9,7,0.308
S100pbp,0.148,-0.025,0.179,0.0,11,8,6,0.679
Nr2c1,0.148,-0.176,0.256,0.0,12,7,7,-0.358
Slc22a17,0.148,0.037,0.17,0.0,13,10,8,0.339
Trim68,0.148,0.013,0.383,0.0022,12,10,7,0.527
Gls2,0.147,-0.108,0.424,0.0297,11,7,7,1.382
Fam8a1,0.147,0.044,0.252,0.0,11,9,6,0.513
Tti1,0.147,-0.317,0.226,0.002,11,7,6,0.399
Ttc7b,0.147,0.081,0.383,0.0012,13,13,8,0.97
Phf24,0.147,0.002,0.321,0.0,11,9,6,1.935
B230312C02Rik,0.147,-0.072,0.39,0.0256,11,6,7,1.255
Lrp12,0.147,0.051,0.236,0.0,13,10,8,0.937
Frrs1l,0.147,0.051,0.257,0.0001,12,11,7,1.758
Limk2,0.147,0.061,0.216,0.0,13,10,8,0.879
Tbc1d30,0.147,0.023,0.239,0.0,12,10,8,1.943
Lpcat4,0.147,-0.061,0.337,0.0,13,8,8,1.327
Hps6,0.147,-0.068,0.408,0.0084,11,8,6,0.376
Dhx57,0.147,0.119,0.256,0.0,13,12,8,0.861
Adpgk,0.147,-0.007,0.304,0.0,13,9,8,-0.617
Sema6d,0.147,0.005,0.179,0.0,13,10,8,-0.046
Dner,0.146,0.024,0.287,0.0,13,11,8,2.018
Slc8a3,0.146,0.022,0.311,0.0,12,9,8,1.73
Htr3b,0.146,0.009,0.519,0.0127,12,9,7,1.2
Vat1l,0.146,0.091,0.284,0.0018,13,12,8,1.962
Slc12a6,0.146,0.037,0.181,0.0,13,10,8,0.391
Wdfy2,0.146,0.103,0.262,0.0012,11,10,7,-0.747
Herc3,0.146,0.083,0.217,0.0,13,10,8,1.731
Tmcc2,0.146,0.033,0.232,0.0,13,10,8,1.393
Abcb9,0.146,0.036,0.29,0.005,13,11,8,0.89
D130043K22Rik,0.146,-0.125,0.424,0.0003,12,9,8,2.136
Clip2,0.146,0.004,0.204,0.0,12,9,7,0.186
Alas1,0.145,-0.081,0.26,0.0,13,7,8,-0.116
Plbd2,0.145,0.033,0.24,0.0,13,13,8,-0.529
Zc3h4,0.145,0.026,0.263,0.0002,12,10,7,-0.54
Clcn6,0.145,0.071,0.25,0.0,12,10,7,0.366
Sprn,0.145,0.007,0.161,0.0,13,10,8,2.152
Epb41l4b,0.145,-0.074,0.255,0.0,11,8,6,-1.274
Nuak1,0.145,0.01,0.249,0.0,12,10,7,-0.196
Kcnk10,0.145,-0.037,0.262,0.0,13,8,8,1.748
Samd5,0.145,-0.046,0.411,0.0073,12,9,8,-1.813
Sbf2,0.145,0.01,0.21,0.0,13,10,8,-0.221
Nrip3,0.145,-0.052,0.269,0.0065,13,8,8,1.838
Dock9,0.144,-0.084,0.361,0.0039,12,8,8,-1.541
Abcg4,0.144,0.1,0.251,0.0,13,12,8,1.295
Trim23,0.144,0.067,0.22,0.0,13,11,8,0.385
Wdr44,0.144,0.022,0.338,0.0115,13,10,8,0.318
Fam78b,0.144,0.017,0.324,0.0055,13,10,8,0.531
Clasp1,0.144,0.026,0.185,0.0,13,11,8,0.539
Zcchc12,0.144,0.006,0.268,0.0,12,9,7,1.984
Ggta1,0.144,-0.163,0.275,0.0,10,7,6,-1.027
Entpd3,0.144,-0.013,0.358,0.0108,13,9,8,1.615
Pigb,0.144,0.087,0.289,0.0004,13,11,8,0.261
Rasgrf2,0.144,0.004,0.382,0.0448,13,10,8,1.602
Ank,0.144,0.076,0.254,0.0,13,12,8,0.109
Zfp281,0.144,0.027,0.204,0.0,13,10,8,-0.863
Cnksr2,0.144,0.068,0.194,0.0,12,11,8,0.837
Erc1,0.144,0.086,0.218,0.0,13,13,8,0.715
Zfp598,0.144,0.02,0.195,0.0,13,11,8,-0.273
Csdc2,0.144,-0.007,0.304,0.0,13,9,8,0.448
Mthfr,0.143,0.016,0.196,0.0001,11,9,7,-0.576
Orai2,0.143,-0.01,0.323,0.0,11,8,6,0.963
Map1a,0.143,0.098,0.193,0.0,12,11,7,0.833
A330102I10Rik,0.143,-0.166,0.26,0.0,13,7,8,2.329
Ccdc149,0.143,0.028,0.304,0.0004,12,10,7,0.866
Adam23,0.143,0.097,0.378,0.0061,13,13,8,-0.701
Rai1,0.143,0.074,0.169,0.0,13,12,8,0.292
Nqo1,0.143,-0.465,0.251,0.0007,10,8,6,-0.682
Pi4ka,0.142,0.03,0.216,0.0,13,10,8,0.48
Spata13,0.142,-0.063,0.373,0.0135,12,9,8,-0.716
Tmem259,0.142,0.13,0.277,0.0007,12,12,7,0.046
Kif3b,0.142,0.04,0.204,0.0,13,11,8,0.634
Zer1,0.142,0.049,0.213,0.0,13,12,8,0.511
Acp2,0.142,0.018,0.204,0.0,13,10,8,0.25
Ocrl,0.142,0.066,0.189,0.0,13,11,8,0.99
Idua,0.142,-0.472,0.271,0.0001,10,7,7,-0.132
Ssh2,0.142,0.095,0.202,0.0,13,13,8,0.27
Frmd4b,0.142,-0.099,0.224,0.0,13,8,8,0.391
Trim25,0.142,-0.039,0.203,0.0,13,9,8,0.155
Saraf,0.142,0.047,0.244,0.0,11,10,6,0.397
Utp14b,0.142,-0.027,0.258,0.0,11,8,7,-0.754
Ipo11,0.142,0.117,0.329,0.0,13,11,8,-0.051
Arid3a,0.142,0.005,0.237,0.0002,11,9,6,0.473
B630019K06Rik,0.142,-0.003,0.197,0.0,13,9,8,1.794
Nat8l,0.142,0.003,0.358,0.0104,13,10,8,0.57
Entpd7,0.141,-0.014,0.294,0.0,11,8,7,-0.402
Nfib,0.141,-0.074,0.354,0.0,13,8,8,-1.983
Zmym6,0.141,-0.056,0.288,0.0037,10,7,7,-0.228
Carf,0.141,-0.054,0.264,0.0,12,8,7,0.123
Rnf123,0.141,-0.131,0.257,0.0006,13,8,8,0.451
Zmat3,0.141,0.058,0.265,0.0,13,11,8,1.393
Mgat5,0.141,-0.002,0.323,0.003,12,9,7,0.994
Sec61a2,0.141,0.086,0.182,0.0,13,12,8,0.506
Mfn2,0.141,0.031,0.188,0.0,13,11,8,0.973
Cpt1a,0.141,0.007,0.209,0.0,13,10,8,0.297
Cep131,0.141,-0.11,0.336,0.0042,11,7,6,0.076
Arsa,0.141,-0.035,0.331,0.0004,13,9,8,-0.049
Faah,0.141,0.04,0.224,0.0,13,10,8,0.74
Usp31,0.141,0.085,0.208,0.0,13,12,8,0.95
Bsdc1,0.141,0.023,0.207,0.0,13,11,8,-0.177
Pacsin2,0.141,0.041,0.268,0.0,13,11,8,-0.816
Tmem106a,0.141,-0.12,0.375,0.017,13,9,8,-0.095
Slc43a2,0.141,-0.103,0.235,0.0,13,8,8,0.009
Cep250,0.141,0.04,0.227,0.0,12,11,7,-0.317
Tnks,0.14,0.075,0.196,0.0,13,11,8,0.692
Slc1a4,0.14,0.058,0.259,0.0,13,11,8,0.397
Kcnc4,0.14,0.07,0.256,0.0007,13,11,8,2.238
Pcdhb14,0.14,0.097,0.263,0.0139,11,9,7,0.245
Cdh2,0.14,0.112,0.227,0.0,13,11,8,-0.163
Creg2,0.14,0.006,0.232,0.0004,13,10,8,1.98
B4galt5,0.14,0.013,0.311,0.0004,13,11,8,1.1
Mfsd6,0.14,0.082,0.241,0.0,13,11,8,1.665
B4galnt4,0.14,0.019,0.205,0.0,11,9,7,1.902
Gse1,0.14,0.001,0.232,0.0,13,10,8,1.225
Elmo2,0.14,0.036,0.213,0.0,13,11,8,0.102
Zzef1,0.14,0.016,0.183,0.0,13,11,8,0.368
Rnf112,0.14,0.088,0.292,0.0,13,10,8,1.253
Slc25a36,0.14,0.059,0.225,0.0,13,11,8,-0.172
Lonp2,0.14,-0.035,0.205,0.0,13,9,8,0.073
Abl2,0.14,0.031,0.201,0.0044,13,10,8,0.394
Clgn,0.14,0.077,0.255,0.0,13,10,8,1.969
Usp32,0.14,0.051,0.209,0.0,13,13,8,0.442
Hpcal4,0.14,0.064,0.185,0.0,13,10,8,1.775
Herc6,0.139,-0.138,0.493,0.0823,10,7,7,-1.611
Adcy6,0.139,-0.186,0.227,0.0,12,8,7,-0.259
Gna12,0.139,0.038,0.231,0.0,12,11,7,0.024
Cldn12,0.139,-0.233,0.24,0.0002,11,7,7,-0.386
Tcf20,0.139,-0.051,0.176,0.0,13,9,8,0.165
Dlg4,0.139,0.026,0.258,0.0,12,10,7,1.162
Slc26a11,0.139,-0.815,0.232,0.0022,10,6,7,-0.912
Cobl,0.139,0.091,0.209,0.0,13,11,8,0.681
Ogfod1,0.139,0.103,0.187,0.0003,12,12,8,0.571
Zxdb,0.139,-0.09,0.356,0.0002,11,7,7,-0.107
Slc4a8,0.139,0.113,0.197,0.0,13,11,8,1.643
Fam163a,0.139,-0.004,0.298,0.0007,10,8,5,1.794
Cplx2,0.139,0.029,0.163,0.0,13,10,8,0.898
Tub,0.139,0.054,0.185,0.0,13,11,8,2.08
Ndrg3,0.138,0.094,0.192,0.0,13,12,8,0.81
Trim2,0.138,0.037,0.187,0.0,13,12,8,0.119
Mlxip,0.138,-0.342,0.327,0.0015,13,8,8,-0.363
Adamts10,0.138,-0.144,0.226,0.0,11,8,6,-0.753
Psd,0.138,0.058,0.307,0.0002,12,12,7,1.865
Gpr162,0.138,-0.004,0.336,0.0002,11,7,6,1.944
Pik3cb,0.138,0.019,0.279,0.0,12,10,8,0.861
Slc16a6,0.138,-0.032,0.496,0.1415,10,7,6,-0.033
Grin1,0.138,0.013,0.248,0.0,13,10,8,1.632
Abcb7,0.138,-0.326,0.196,0.0,12,7,7,0.211
Mark2,0.138,0.071,0.17,0.0,13,11,8,-0.019
Slc16a1,0.138,-0.014,0.274,0.0,13,9,8,-0.529
Ppfia3,0.138,-0.046,0.211,0.0,13,9,8,1.45
Ctnna2,0.138,-0.008,0.283,0.0,13,9,8,1.752
Htt,0.138,0.093,0.257,0.0,13,12,8,0.232
Dbn1,0.138,-0.02,0.154,0.0,13,9,8,0.414
Arfip1,0.138,-0.05,0.175,0.0,13,8,8,-1.805
Rasd2,0.138,-0.041,0.27,0.0009,12,8,7,1.865
Spef1,0.138,0.075,0.306,0.0,12,10,7,-0.086
Ankrd52,0.138,-0.083,0.493,0.0241,12,8,8,0.088
Otud5,0.138,-0.017,0.201,0.0,13,8,8,-0.344
Kcnab2,0.137,0.035,0.188,0.0,13,10,8,1.769
Gabrg2,0.137,-0.017,0.24,0.0113,13,9,8,1.909
Ccser2,0.137,0.067,0.262,0.0,12,10,7,-0.351
Aacs,0.137,0.056,0.304,0.0001,13,12,8,0.518
Slc38a9,0.137,0.047,0.21,0.0,13,11,8,-0.122
Zdhhc8,0.137,0.02,0.272,0.0,13,10,8,0.019
Fbxl17,0.137,0.066,0.183,0.0,13,12,8,0.435
Ppfibp2,0.137,0.016,0.327,0.0011,13,10,8,0.886
