,GSE102443 geniculate (VII),GSE135801 geniculate (VII),GSE309608 vestibular (VIII),GSE232789 stellate,GSE232789 coeliac,GSE232789 lumbar chain,GSE231766 superior cervical,GSE231924 stellate,GSE232789 sphenopalatine,GSE330884 intrinsic cardiac,GSE232789 pelvic,"GSE263422 enteric submucosal, P24","GSE263422 enteric submucosal, P7"
Aasdhppt,0.057,0.013,-0.04,0.033,0.019,-0.176,-0.008,-1.01,-0.215,-0.056,-0.171,-0.178,0.098
Aatf,-0.614,0.566,0.035,0.248,0.419,-0.23,0.076,-0.558,-0.235,0.021,-0.032,0.0,-0.059
Aatk,0.01,0.001,0.205,-0.104,0.454,0.406,0.62,-0.044,0.06,0.341,0.152,0.205,0.332
Abca1,-0.745,0.269,-0.025,-0.373,-1.041,-0.488,-0.192,0.068,-0.146,-0.069,-0.089,0.776,
Abca2,0.348,0.553,0.324,0.228,-0.154,-0.115,0.406,-0.028,0.109,0.206,0.234,0.44,-0.841
Abca3,0.367,1.792,0.401,0.095,0.303,0.362,0.498,-0.048,0.145,0.306,0.122,-0.018,-0.082
Abca5,-0.01,-0.265,0.344,-0.021,0.215,0.12,1.008,-0.308,-0.06,0.267,0.1,-0.075,0.067
Abca7,0.133,-0.09,0.422,0.228,0.453,0.104,0.239,0.069,0.102,0.398,0.216,-0.025,0.049
Abca8a,0.613,0.595,-0.613,-0.023,-0.769,-0.102,-0.58,-0.642,-0.624,-0.066,0.465,,
Abca8b,0.046,0.682,0.102,-0.195,0.098,-0.094,0.22,-0.285,-0.018,0.17,0.121,0.01,-0.784
Abcb10,-0.008,-0.005,0.08,0.04,0.691,-0.104,0.353,0.099,0.05,0.29,0.08,0.207,-0.356
Abcb1a,-0.338,-0.076,-0.896,0.133,1.373,-0.46,0.724,-0.013,0.303,0.275,0.501,-0.409,
Abcb6,-0.112,0.971,0.444,0.109,0.313,0.358,,-0.673,0.104,0.303,-0.124,0.002,-0.168
Abcb7,-0.326,-0.783,0.21,0.132,0.703,-0.272,0.144,,-0.043,0.182,0.352,0.172,-0.63
Abcb8,0.115,0.565,0.237,-0.048,-0.549,0.046,-0.13,0.259,-0.079,0.23,-0.0,0.018,0.098
Abcb9,0.036,-0.427,0.458,0.146,0.92,0.148,0.931,0.018,0.102,0.29,0.2,0.103,-0.744
Abcc1,-0.386,-1.179,0.197,0.153,0.502,0.151,0.517,0.274,-0.003,0.332,0.127,-0.065,0.006
Abcc4,0.425,-0.514,0.233,0.162,0.317,0.771,0.407,-0.109,0.203,0.336,-0.178,,
Abcc5,-0.092,-0.081,0.285,0.093,-0.177,-0.053,0.557,0.118,0.046,0.224,0.162,0.129,-0.085
Abcd2,0.4,0.396,0.341,-0.05,0.777,-1.305,0.42,,-0.168,0.015,0.036,0.101,-0.434
Abcd3,0.002,0.366,0.159,-0.017,0.326,0.007,0.268,-0.248,0.035,0.165,0.071,0.219,-0.007
Abcd4,-0.059,0.261,0.212,-0.082,1.209,0.387,0.033,0.213,0.199,0.212,0.133,0.047,-0.308
Abce1,0.064,-0.322,0.1,0.207,0.104,-0.056,0.007,-0.333,-0.117,0.031,0.109,0.073,-0.023
Abcf1,0.094,-0.18,0.028,0.01,-0.223,0.103,-0.205,0.045,-0.031,0.13,-0.09,-0.074,0.064
Abcf2,-0.101,0.425,0.009,0.062,0.243,-0.153,0.07,-0.057,-0.071,0.06,-0.061,-0.146,-0.027
Abcf3,-0.044,-0.265,0.0,-0.018,0.744,0.466,-0.076,0.156,-0.022,0.126,-0.123,0.003,0.249
Abcg1,0.2,0.316,0.355,0.506,-0.389,0.097,0.274,0.809,0.195,0.201,0.401,0.347,
